Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
260000,0.59198916,2.006315789473684,0.28568593,0.2992481203007519,0.2992481203007519,1.0
270000,0.5976176,1.9937144567494762,0.29686013,0.28269979048189164,0.28269979048189164,1.0
280000,0.6109017,2.1344827586206896,0.32482573,0.2874608150470219,0.2874608150470219,1.0
290000,0.6199949,2.233829236739974,0.29661137,0.2855756791720569,0.2855756791720569,1.0
300000,0.6277231,2.3557046979865772,0.24815986,0.29261744966442954,0.29261744966442954,1.0
310000,0.6162037,2.252682926829268,0.26292956,0.2863414634146341,0.2863414634146341,1.0
320000,0.5764715,2.0153799758745476,0.32036683,0.2973462002412545,0.2973462002412545,1.0
330000,0.57893604,1.9973021582733812,0.31437153,0.2886690647482014,0.2886690647482014,1.0
340000,0.5791415,2.085775995063252,0.29618526,0.29410857495373227,0.29410857495373227,1.0
350000,0.55809426,2.0126544139801146,0.29433364,0.2952696595360048,0.2952696595360048,1.0
360000,0.47173253,1.6211326691137913,0.27798903,0.2853211009174312,0.2853211009174312,1.0
370000,0.46452132,1.6029143897996356,0.2820654,0.29156908665105385,0.29156908665105385,1.0
380000,0.43634528,1.4961298377028713,0.30229494,0.2902621722846442,0.2902621722846442,1.0
390000,0.43770018,1.4886787758148794,0.30085632,0.2876337397362528,0.2876337397362528,1.0
400000,0.4090547,1.4698616600790513,0.3297169,0.2932312252964427,0.2932312252964427,1.0
410000,0.41201946,1.4807740014884645,0.32912308,0.2990573058794344,0.2990573058794344,1.0
420000,0.439607,1.5292035398230088,0.32574102,0.2860935524652339,0.2860935524652339,1.0
430000,0.44438955,1.5901554404145077,0.324197,0.2827720207253886,0.2827720207253886,1.0
440000,0.463216,1.601040312093628,0.26581374,0.2869960988296489,0.2869960988296489,1.0
450000,0.46116683,1.6227701993704093,0.27339274,0.28200419727177334,0.28200419727177334,1.0
460000,0.42014948,1.5286978508217446,0.27143,0.30050568900126423,0.30050568900126423,1.0
470000,0.4181919,1.5053871210223002,0.26828384,0.29403658231019797,0.29403658231019797,1.0
480000,0.41611826,1.508780732563974,0.24027988,0.29565980933266434,0.29565980933266434,1.0
490000,0.41726652,1.5223203026481715,0.23482028,0.28058007566204285,0.28058007566204285,1.0
500000,0.3929464,1.433682161109759,0.28377545,0.2809686055001217,0.2809686055001217,1.0
510000,0.38674393,1.4390243902439024,0.2964154,0.30609756097560975,0.30609756097560975,1.0
520000,0.4205559,1.5104192819482802,0.2820278,0.3037911122269646,0.3037911122269646,1.0
530000,0.42763084,1.537427048972342,0.2778842,0.2914234965744735,0.2914234965744735,1.0
540000,0.40812412,1.4841033283656235,0.31624606,0.293591654247392,0.293591654247392,1.0
550000,0.4009052,1.4533856722276741,0.3307631,0.29575564278704614,0.29575564278704614,1.0
560000,0.38480812,1.429890643985419,0.31196937,0.2907654921020656,0.2907654921020656,1.0
570000,0.3713747,1.4071222329162656,0.3072739,0.2899422521655438,0.2899422521655438,1.0
580000,0.32521108,1.3191834841104153,0.30980545,0.29018789144050106,0.29018789144050106,1.0
590000,0.30200872,1.299678012879485,0.30885392,0.2978380864765409,0.2978380864765409,1.0
600000,0.3314132,1.328830926874709,0.29409382,0.2925011644154634,0.2925011644154634,1.0
610000,0.3424077,1.3366822429906542,0.29168049,0.29637850467289717,0.29637850467289717,1.0
620000,0.34633943,1.3759505703422052,0.30469427,0.2936074144486692,0.2936074144486692,1.0
630000,0.34336874,1.3629489603024574,0.31876463,0.28804347826086957,0.28804347826086957,1.0
640000,0.3532409,1.3808616995953344,0.30527923,0.2939776243751488,0.2939776243751488,1.0
650000,0.36602628,1.3752969121140142,0.28371564,0.2840855106888361,0.2840855106888361,1.0
660000,0.38915983,1.4718240237271378,0.29698306,0.29312901631240734,0.29312901631240734,1.0
670000,0.41778857,1.5139552426452099,0.30822268,0.28652250440030175,0.28652250440030175,1.0
680000,0.45525882,1.6216570529627687,0.280344,0.2852648138437336,0.2852648138437336,1.0
690000,0.49132606,1.6373945147679325,0.25344482,0.29944620253164556,0.29944620253164556,1.0
700000,0.49207872,1.691334768568353,0.24603738,0.2808127018299246,0.2808127018299246,1.0
710000,0.475964,1.6761241970021414,0.24842343,0.28278907922912205,0.28278907922912205,1.0
720000,0.47377753,1.6942349137931034,0.26642236,0.2890625,0.2890625,1.0
730000,0.46334952,1.6900726392251817,0.30492848,0.3099273607748184,0.3099273607748184,1.0
740000,0.4692973,1.703623580313683,0.29497036,0.2850770478507705,0.2850770478507705,1.0
750000,0.44836554,1.6584263689526848,0.29907447,0.2811004784688995,0.2811004784688995,1.0
760000,0.44132778,1.6308866087871612,0.29792023,0.292817679558011,0.292817679558011,1.0
770000,0.46738952,1.727495908346972,0.2601107,0.2835515548281506,0.2835515548281506,1.0
780000,0.46022674,1.6855531686358753,0.26743442,0.2973952738990333,0.2973952738990333,1.0
790000,0.45442036,1.677289769683985,0.2721261,0.30883534136546187,0.30883534136546187,1.0
800000,0.45582157,1.6506758547574873,0.26996234,0.2940630797773655,0.2940630797773655,1.0
810000,0.43779382,1.6494435612082672,0.28827167,0.2901430842607313,0.2901430842607313,1.0
820000,0.43509737,1.672367717797969,0.29584938,0.2943613041154463,0.2943613041154463,1.0
830000,0.4148263,1.6874496103198064,0.38839948,0.2932563138097797,0.2932563138097797,1.0
840000,0.4105406,1.7439626783754116,0.38968363,0.2938271604938272,0.2938271604938272,1.0
850000,0.39160797,1.644973544973545,0.325932,0.313938111610685,0.313938111610685,1.0
860000,0.38640505,1.6276931161324224,0.32533634,0.2970310036784025,0.2970310036784025,1.0
